Category;Indicator;Unit;Bad;Threshold;Reference;Status
Benthic habitats;Typological group highly sensitive to seafloor physical impact;Mean % of total number of taxa;5.539469;10.386504;11.078938;8.719433
Pelagic habitats;Copepod concentration;Number of individuals per liter;12.74457;23.89608;25.48915;12.86112
Pelagic habitats;Phytoplankton species richness;Mean number of species;88.5;165.9375;177;186.6
Pelagic habitats;Zooplankton species richness;Mean number of species;23.55897;44.17307;47.11794;47.80565
Benthic habitats;Benthic invertebrates species richness;Total number of species;88;165;176;202
Benthic habitats;Benthic species richness;Total number of species;48;90;96;66
Pelagic habitats;Pelagic species richness;Total number of species;8;15;16;12
Birds;Bird species richness;Total number of species;10.98487;20.59663;21.96974;23.66667
Mammals;Mammal species richness;Total number of species;0;4;6;6
Pelagic habitats;Biomass of copepods;% of biomass;30;49;60;68
Pelagic habitats;Biomass of copepods;% of biomass;25;40;50;41
Pelagic habitats;Biomass of copepods;% of biomass;35;54;65;68
Pelagic habitats;Biomass of microphagous zooplankton;% of biomass;30;51;68;28
Pelagic habitats;Biomass of microphagous zooplankton;% of biomass;25;59;70;60
Pelagic habitats;Biomass of microphagous zooplankton;% of biomass;15;46;60;35
Plants;Maximum macrophyte distribution depth;m;0;14;20;15
Fish;Fish community size index;index;0.25;1.09;5;0.8
Fish;Fish community abundance index;index;0;1.3;1.7;0.53
Fish;Fish community trophic index;index;3.1;3.32;3.55;3.6
Fish;Fishing mortality Fmsy of Baltic herring;index;0.5;0.3;0;0.31
Fish;Fishing mortality Fmsy of Baltic sprat;index;0.5;0.35;0;0.41
Fish;Fishing mortality Fmsy of Baltic cod;index;0.5;0.3;0;0.25
Birds;Proportion of oiled seabirds;percentage;100;10;1;0
Birds;Abundance of wintering populations of seabirds Red-throated Diver and Black-throated Loon;individual;0;250;500;200
Birds;Abundance of wintering populations of seabirds Red-throated Diver and Black-throated Loon;individual;0;250;500;200
Birds;Abundance of wintering populations of seabirds Red-throated Diver and Black-throated Loon;individual;0;250;500;200
